File,Linea,Edge Case,Severità,Tipo Problema,Impatto,Fix Suggerito
Frontendcloud.py,2452,team_name.split()[0] senza check lunghezza,ALTA,Array Access,IndexError se team_name vuoto o solo spazi,"return (team_name.split()[0] if team_name.split() else ""Unknown"").title()"
Frontendcloud.py,3624,market.split()[-1] senza validazione,ALTA,Array Access,IndexError se market vuoto,"if market.split(): threshold = float(market.split()[-1])"
Frontendcloud.py,11833,stadium_location.split(',')[0] senza None check,ALTA,Array Access + None,AttributeError se stadium_location è None,"city = (stadium_location or """").split("""","""")[0].strip() if stadium_location else """"
api_manager.py,184,cursor.fetchone()[0] senza None check,ALTA,Array Access,TypeError: 'NoneType' object is not subscriptable,"result = cursor.fetchone(); count = result[0] if result else 0"
api_manager.py,339,result[0] if result else 0 fragile,ALTA,Array Access,IndexError se result è [],return result[0] if result and len(result) > 0 else 0"
api_manager.py,451,data['teams'][0] senza protezione,ALTA,Array Access,IndexError se teams vuoto,return data['teams'][0] if data.get('teams') and len(data['teams']) > 0 else None"
Frontendcloud.py,4297,teams[0] senza check lunghezza,ALTA,Array Access,IndexError,if teams: return teams[0]"
Frontendcloud.py,4778,response[0] senza protezione,ALTA,Array Access,IndexError se response vuota,return response[0] if response and len(response) > 0 else {}"
Frontendcloud.py,2136,value_bets[0] senza lunghezza,ALTA,Array Access,IndexError se lista vuota,"if value_bets: logger.info(...value_bets[0]...)"
Frontendcloud.py,2236,closest_forecast.get('weather')[0] fragile,ALTA,Array Access + Dict,IndexError se weather vuota,weather = (closest_forecast.get('weather') or [{}])[0]"
Frontendcloud.py,4914,weather_list[0] senza bounds,ALTA,Array Access,IndexError se weather_list vuota,condition_label = ((weather_list[0] if weather_list else {}) or {}).get('description')"
advanced_features.py,195,result.x[0] result.x[1] senza len check,ALTA,Array Access,IndexError se result.x ha < 2 elementi,if len(result.x) >= 2: return result.x[0] result.x[1]"
auto_features.py,343,pos_range.split('-') unpacking fragile,MEDIA,String Parse,ValueError se - non presente o non numerico,try: start end = map(int pos_range.split('-')) except ValueError: handle_error()"
dashboard.py,110,home_team_input.strip() su potentially None,MEDIA,None Check,AttributeError se home_team_input None,"if not (home_team_input or """").strip() or not (away_team_input or """").strip():"
Frontendcloud.py,12285,sections[-1].split() senza bounds,MEDIA,Array Access,IndexError se sections vuota,if sections and len(sections) > 0: ... sections[-1]"
Frontendcloud.py,6195-6204,math.exp(-lam) overflow con lambda grande,MEDIA,Numeric Overflow,OverflowError con lambda > 700,probs[0] = math.exp(-min(lam_float 100.0))"
Frontendcloud.py,1505,mu1 / mu2 senza protezione,MEDIA,Division by Zero,ZeroDivisionError se mu2==0,mu2_safe = max(mu2 model_config.TOL_DIVISION_ZERO)"
advanced_features.py,58,max(total_current 0.01) epsilon troppo piccolo,MEDIA,Division by Zero,Scale enormi se total_current ~ 0,scale = max(0.1 min(10.0 scale))"
Frontendcloud.py,1164,np.sqrt(sqrt_arg) senza validazione,MEDIA,Numeric,NaN se sqrt_arg < 0,sqrt_arg_safe = max(sqrt_arg 0.0); sqrt_term = np.sqrt(sqrt_arg_safe)"
Frontendcloud.py,13560,parts[1].split()[0] senza bounds,MEDIA,String Parse + Array,IndexError se split() vuoto,"if parts[1].split(): total_in_entry = float(parts[1].split()[0])"
