ID,File,Line(s),Function,Problem Type,Severity,Complexity,Current Impact (ms),Estimated Impact After Fix,Time to Fix (min),Speedup Factor,Recommended Fix
1,Frontendcloud.py,7916-7918,dist_gol_da_matrice,O(n²) nested loops,CRITICAL,O(121),100-200,10-20,30,10x,"Vectorize with NumPy or validate matrix once"
2,Frontendcloud.py,8011-8023,dist_totalgol_da_matrice,O(n²) nested loops,CRITICAL,O(121),80-150,10-15,30,8x,"Pre-validate matrix, remove redundant checks"
3,Frontendcloud.py,8127-8152,prob_esito_over_from_matrix,O(n²) nested loops + redundant checks,CRITICAL,O(121),100-180,15-30,40,6x,"Move esito check outside loop, vectorize"
4,Frontendcloud.py,8209-8210,prob_esito_under_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
5,Frontendcloud.py,8288-8289,prob_esito_multigol_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
6,Frontendcloud.py,8357-8358,prob_esito_gol_casa_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
7,Frontendcloud.py,8423-8424,prob_esito_gol_trasferta_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
8,Frontendcloud.py,8486-8487,prob_multigol_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
9,Frontendcloud.py,8545-8546,prob_multigol_both_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
10,Frontendcloud.py,8583-8587,prob_multigol_odd_from_matrix,O(n²) nested loops,HIGH,O(121),100-180,15-30,30,6x,"Vectorize with NumPy"
11,Frontendcloud.py,11531,_get_team_metrics_cached,deepcopy inefficiency,CRITICAL,O(n) where n=dict size,30-50,0.5-2,10,50x,"Use MappingProxyType instead of deepcopy"
12,Frontendcloud.py,11537,_get_team_metrics_cached,deepcopy inefficiency,CRITICAL,O(n),30-50,0.5-2,10,50x,"Use MappingProxyType instead of deepcopy"
13,Frontendcloud.py,11592,_get_team_metrics_cached,deepcopy inefficiency,CRITICAL,O(n),30-50,0.5-2,10,50x,"Use MappingProxyType instead of deepcopy"
14,Frontendcloud.py,11667,_get_team_metrics_cached,deepcopy inefficiency,CRITICAL,O(n),30-50,0.5-2,10,50x,"Use MappingProxyType instead of deepcopy"
15,Frontendcloud.py,11686,_get_team_metrics_cached,deepcopy inefficiency,CRITICAL,O(n),30-50,0.5-2,10,50x,"Use MappingProxyType instead of deepcopy"
16,Frontendcloud.py,7170-7172,time_decay_weight via apply,pandas apply() anti-pattern,MEDIUM,O(n) lambda overhead,5-20,0.5-2,15,10x,"Vectorize with NumPy exp() formula"
17,Frontendcloud.py,14581-14582,label creation via apply,pandas apply(axis=1) anti-pattern,HIGH,O(n) high overhead,20-100,1-5,5,50x,"Use direct string concatenation on columns"
18,Frontendcloud.py,6212,poisson_pmf in list comp,Function call in loop,MEDIUM,O(15),2-5,0.5-1,30,5x,"Add @lru_cache to poisson_pmf"
19,Frontendcloud.py,Main flow,N/A,Missing @st.cache_data,CRITICAL,User perception,1000-2000,200-500,20,5x,"Add @st.cache_data to heavy functions"
20,Frontendcloud.py,7842-7860,Clean sheet calculations,Dual loops O(n),MEDIUM,O(mg),10-20,5-10,10,2x,"Combine into single loop"
21,advanced_features.py,365,N/A,Loop through bins,O(n),LOW,5-10,4-8,5,1.2x,"Not critical"
